client_id,total_samples,class_0_airplane,class_1_automobile,class_2_bird,class_3_cat,class_4_deer,class_5_dog,class_6_frog,class_7_horse,class_8_ship,class_9_truck
0,5433,732,216,3,366,456,3625,23,4,0,8
1,14604,2069,4317,427,69,3480,0,0,3766,0,476
2,3708,0,282,2402,219,0,772,0,4,29,0
3,3722,620,2,1,62,1054,3,0,0,1638,342
4,3958,0,0,331,0,0,0,0,1,0,3626
5,1143,0,181,0,0,0,4,0,958,0,0
6,5742,117,0,1371,4224,8,0,22,0,0,0
7,526,3,1,458,0,0,0,26,0,0,38
8,5120,26,0,6,0,1,593,4491,0,3,0
9,6044,1433,1,1,60,1,3,438,267,3330,510
